ISIN,Company,LEVEL2 SECTOR NAME,LEVEL3 SECTOR NAME,LEVEL4 SECTOR NAME,LEVEL5 SECTOR NAME,GEOGRAPHIC DESCR.,TotalValue,EV,SUPPLIERCOSTS
CNE000000DG7,ENN NATURAL GAS 'A',Utilities,Utilities,"Gas, Water & Mul Util",Gas Distribution,CHINA,"17,790,775,000","16,149,387,260","13,013,057,636"
CNE000000GJ4,SICHUAN CHANGHONG ELEC. 'A',Consumer Discretion,Consumer Prod & Svs,Hhold Gds & Home Con.,Household Appliance,CHINA,"13,520,230,000",NA,"11,716,583,966"
CNE000000KB3,SANAN OPEL.'A',Technology,Technology,"Tech. Hardware, Equip",Semiconductors,CHINA,"8,055,062,000","9,285,461,520","1,580,405,435"
CH0012214059,HOLCIM,Industrials,Construction & Mats,Construction & Mats,Cement,SWITZERLAND,"59,276,589,000","53,336,401,530","21,765,454,610"
TRASAHOL91Q5,HACI OMER SABANCI HLDG.,Financials,Financial Services,Inv. Banking & Broker,Div. Fin. Services,TURKEY,"86,879,992,000",NA,"1,415,741,678"
GB0033195214,KINGFISHER,Consumer Discretion,Retailers,Retailers,Home Imprv. Retailers,UNITED KINGDOM,"14,209,802,000","8,285,323,090","11,985,091,247"
BE0974293251,ANHEUSER-BUSCH INBEV,Consumer Staples,"Food, Bev. and Tobacc",Beverages,Brewers,BELGIUM,"204,200,722,000","170,615,200,000","35,109,532,138"
TW0003293007,INTERNATIONAL GAMES SY.,Consumer Discretion,Consumer Prod & Svs,Leisure Goods,Elec. Entertainment,TAIWAN,"673,238,000",NA,"393,753,924"
MXP554091415,INDUST PENOLES,Basic Materials,Basic Resources,Ind. Metals & Mining,Nonferrous Metals,MEXICO,"9,410,713,000",NA,"4,525,653,950"
US5717481023,MARSH & MCLENNAN,Financials,Insurance,Non-life Insurance,Insurance Brokers,UNITED STATES,"56,244,000,000",NA,"16,519,053,485"
US68389X1054,ORACLE,Technology,Technology,Software & Comp. Svs.,Software,UNITED STATES,"156,484,000,000","887,885,800,000","24,094,257,372"
US5949181045,MICROSOFT,Technology,Technology,Software & Comp. Svs.,Software,UNITED STATES,"589,895,000,000","3,860,087,000,000","118,258,690,291"
US6153691059,MOODY'S,Financials,Financial Services,Finance & Credit Svs,Fin. Data Providers,UNITED STATES,"15,212,000,000",NA,"2,157,893,039"
CA6330671034,NATIONAL BANK OF CANADA,Financials,Banks,Banks,Banks,CANADA,"330,997,036,000",NA,"11,843,747,872"
TRASISEW91Q3,TKI.SISE VE CAM FKI.,Industrials,Ind. Goods & Services,General Industrials,Glass,TURKEY,"11,135,196,000","5,446,986,820","3,762,791,303"
JP3756100008,NITORI HOLDINGS,Consumer Discretion,Retailers,Retailers,Home Imprv. Retailers,JAPAN,"9,900,700,000","8,071,618,220","4,686,391,166"
GB00BDR05C01,NATIONAL GRID,Utilities,Utilities,"Gas, Water & Mul Util",Multi-Utilities,UNITED KINGDOM,"137,777,237,000","139,522,633,230","16,578,627,748"
SE0000108227,SKF B,Basic Materials,Basic Resources,Ind. Metals & Mining,Metal Fabricating,SWEDEN,"10,502,418,000","13,158,971,960","6,857,516,507"
JP3733000008,NEC,Technology,Technology,"Tech. Hardware, Equip",Computer Hardware,JAPAN,"27,672,536,000","32,074,544,960","16,397,161,568"
US6541061031,NIKE 'B',Consumer Discretion,Consumer Prod & Svs,Personal Goods,Footwear,UNITED STATES,"31,401,000,000","100,107,700,000","26,431,139,158"
NO0003733800,ORKLA,Consumer Staples,"Food, Bev. and Tobacc",Food Producers,Food Products,NORWAY,"7,909,617,000","11,410,739,930","4,710,181,809"
CH0038863350,NESTLE 'N',Consumer Staples,"Food, Bev. and Tobacc",Food Producers,Food Products,SWITZERLAND,"152,571,009,000","290,479,124,830","76,320,119,645"
US09857L1089,BOOKING HOLDINGS,Consumer Discretion,Travel & Leisure,Travel & Leisure,Travel & Tourism,UNITED STATES,"27,046,000,000","166,810,900,000","13,546,626,582"
CH0012005267,NOVARTIS 'R',Health Care,Health Care,Pharm. & Biotech,Pharmaceuticals,SWITZERLAND,"97,966,931,000","270,334,000,000","27,660,680,259"
AT0000746409,VERBUND,Utilities,Utilities,Electricity,Alt. Electricity,AUSTRIA,"19,321,151,000","31,948,267,740","5,321,614,586"
NL0000009538,PHILIPS ELTN.KONINKLIJKE,Health Care,Health Care,Medical Eq. Services,Medical Equipment,NETHERLANDS,"28,020,206,000","34,791,815,860","8,645,385,220"
SE0000115446,VOLVO B,Industrials,Ind. Goods & Services,Ind. Transportation,"Comm. Vehicles, Parts",SWEDEN,"63,233,706,000","50,533,107,940","27,933,135,329"
SA000A0DM9P2,ETIHAD ETISALAT CO.,Telecommunications,Telecommunications,Telecom. Svs. Prvds.,Telecom. Services,SAUDI ARABIA,"10,250,485,000","10,764,555,090","2,421,942,831"
SA000A0JK5M3,SAUDI RESEARCH AND MEDIA GROUP,Consumer Discretion,Media,Media,Publishing,SAUDI ARABIA,"1,460,281,000",NA,"371,942,912"
SA000A0MQCJ2,SAUDI KAYAN PETROCH.,Basic Materials,Chemicals,Chemicals,Specialty Chemicals,SAUDI ARABIA,"6,618,775,000","4,534,490,900","1,723,433,239"
INE584A01023,NMDC,Basic Materials,Basic Resources,Ind. Metals & Mining,Iron & Steel,INDIA,"4,763,008,000","6,009,609,770","2,146,633,799"
NL0000379121,RANDSTAD,Industrials,Ind. Goods & Services,Ind. Support Services,"Training, Emp. Agency",NETHERLANDS,"10,820,811,000","9,004,755,620","15,812,006,981"
BE0003717312,SOFINA,Financials,Financial Services,Inv. Banking & Broker,"Asset Mngr, Custodian",BELGIUM,"11,554,779,000",NA,"333,898,478"
US6819191064,OMNICOM GROUP,Consumer Discretion,Media,Media,Media Agencies,UNITED STATES,"29,620,700,000","17,644,510,000","6,718,866,237"
US5949724083,STRATEGY A,Technology,Technology,Software & Comp. Svs.,Software,UNITED STATES,"24,318,378,000","54,773,250,000","194,543,949"
IT0003497168,TELECOM ITALIA,Telecommunications,Telecommunications,Telecom. Svs. Prvds.,Telecom. Services,ITALY,"38,468,242,000","26,391,291,920","7,474,727,483"
FR0000120271,TOTALENERGIES,Energy,Energy,"Oil, Gas and Coal",Integrated Oil & Gas,FRANCE,"282,363,434,000","159,425,100,000","141,579,153,659"
US7433151039,PROGRESSIVE OHIO,Financials,Insurance,Non-life Insurance,Prop. & Casualty Ins.,UNITED STATES,"104,791,000,000",NA,"50,887,032,739"
US64110D1046,NETAPP,Technology,Technology,"Tech. Hardware, Equip",Computer Hardware,UNITED STATES,"9,829,000,000","22,252,340,000","4,707,194,435"
US8716071076,SYNOPSYS,Technology,Technology,Software & Comp. Svs.,Software,UNITED STATES,"11,826,303,000","94,051,680,000","2,572,100,908"
US8581191009,STEEL DYNAMICS,Basic Materials,Basic Resources,Ind. Metals & Mining,Iron & Steel,UNITED STATES,"14,935,233,000","24,314,420,000","13,462,494,814"
US91307C1027,UNITED THERAPEUTICS,Health Care,Health Care,Pharm. & Biotech,Pharmaceuticals,UNITED STATES,"6,905,600,000","18,255,330,000","1,580,536,821"
US05464C1018,AXON ENTERPRISE,Industrials,Ind. Goods & Services,Aerospace & Defense,Defense,UNITED STATES,"4,170,306,000","62,847,650,000","1,261,728,999"
US8923561067,TRACTOR SUPPLY,Consumer Discretion,Retailers,Retailers,Specialty Retailers,UNITED STATES,"9,805,485,000","32,453,280,000","11,229,435,812"
INE761H01022,PAGE INDUSTRIES,Consumer Discretion,Consumer Prod & Svs,Personal Goods,"Clothing, Accessories",INDIA,"308,240,000","5,205,606,410","329,536,245"
US9892071054,ZEBRA TECHNOLOGIES 'A',Industrials,Ind. Goods & Services,Elec. & Electrical Eq,Elec. Eq: Control,UNITED STATES,"7,456,000,000","16,446,420,000","3,567,241,757"
US8740541094,TAKE TWO INTACT.SFTW.,Consumer Discretion,Consumer Prod & Svs,Leisure Goods,Elec. Entertainment,UNITED STATES,"9,180,700,000","46,005,200,000","3,928,320,905"
ES0173093024,REDEIA CORPORACION,Utilities,Utilities,Electricity,Conv. Electricity,SPAIN,"15,593,650,000","18,739,804,610","1,029,009,631"
TH0003010Z04,SIAM CEMENT,Industrials,Ind. Goods & Services,General Industrials,Divers. Industrials,THAILAND,"25,105,070,000","16,115,103,870","10,748,607,049"
INE603J01030,PI INDUSTRIES,Basic Materials,Chemicals,Chemicals,Fertilizers,INDIA,"1,433,139,000","5,621,636,640","692,660,512"
GB00B2B0DG97,RELX,Technology,Technology,Software & Comp. Svs.,Computer Services,UNITED KINGDOM,"18,847,368,000","90,664,151,750","4,959,617,280"
ZAE000063863,WOOLWORTHS HDG.,Consumer Discretion,Retailers,Retailers,Diversified Retailers,SOUTH AFRICA,"2,212,483,000","3,651,034,170","3,366,542,111"
US9297401088,WABTEC,Industrials,Ind. Goods & Services,Ind. Transportation,Railroad Equipment,UNITED STATES,"18,702,000,000","37,237,740,000","6,085,331,813"
US7588491032,REGENCY CENTERS,Real Estate,Real Estate,REITs,Retail REITs,UNITED STATES,"12,391,961,000","17,995,980,000","510,068,205"
